t_s,yaw_sigma_rad
327.148248,1.794072
328.148248,1.769335
328.748248,1.830378
329.948248,1.814591
330.548248,1.902616
331.148248,2.023411
332.948248,2.033031
334.548248,1.966299
335.148248,2.073866
337.148248,2.264828
348.549248,2.400044
349.149248,2.127258
350.149248,2.278244
351.549248,2.281354
351.949248,2.299824
352.349248,2.259704
353.549248,2.215184
354.149248,2.032252
354.549248,1.992987
354.949248,1.972400
355.349248,2.011700
355.949248,1.959592
356.349248,2.203012
357.349248,2.210579
357.749248,2.395942
357.949248,2.510673
358.349248,2.630086
358.549248,2.798827
358.749248,2.701149
358.949248,2.938001
359.149248,2.929611
359.349248,2.877774
359.549248,3.177785
359.749248,2.940183
359.949248,2.682114
360.349248,2.646940
360.749248,2.637423
363.749248,2.586348
364.549248,2.441383
365.349248,2.506053
365.949248,2.288025
366.549248,2.253797
367.349248,2.249416
368.150248,2.226539
368.749248,2.117392
369.549248,1.988189
370.349248,1.924047
370.950248,1.824878
371.549248,1.693056
372.949248,1.688890
373.149248,1.801751
373.349248,1.835281
374.349248,1.798524
374.949248,1.852596
376.349248,1.762025
377.149248,1.676525
378.349248,1.540556
379.149248,1.433884
379.749248,1.312077
381.149248,1.205827
381.749248,1.455689
382.749248,1.404810
383.349248,1.571922
383.549248,1.527754
385.149248,1.491518
385.749248,1.510052
385.949248,1.456594
387.350248,1.352057
388.349248,1.289888
388.749248,1.267013
388.949248,1.403732
389.149248,1.390656
390.549248,1.368077
391.949248,1.361380
392.749248,1.457263
394.949248,1.482778
396.349248,1.481037
397.149248,1.578210
399.550248,1.737794
400.350248,1.718187
401.550248,1.773574
402.950248,1.828864
403.750248,1.799322
404.750248,1.893006
405.750248,2.007224
406.350248,2.084422
407.150248,2.025079
407.950248,2.070587
408.550248,1.988034
409.350248,1.838010
410.150248,1.913988
410.750248,1.973814
411.350248,2.040911
411.950248,1.995400
412.550248,1.883986
413.150248,1.845146
413.750248,1.783887
414.350248,1.732682
414.950248,1.644909
415.550248,1.653531
416.150248,1.618206
416.750248,1.547843
417.350248,1.511052
417.950248,1.500057
418.550248,1.467184
419.150248,1.351093
419.750248,1.302258
420.350248,1.281952
420.951248,1.478045
422.750248,1.605886
423.750248,1.611229
426.750248,1.592945
427.350248,1.568331
429.350248,1.600404
429.550248,1.698569
430.750248,1.726664
431.550248,1.694566
432.150248,1.729126
433.150248,1.698131
434.550248,1.723448
437.950248,1.959393
438.750248,1.935238
439.550248,1.931162
442.550248,1.975301
442.950248,1.991032
444.150248,2.016582
445.550248,2.031270
447.950248,2.109464
448.550248,2.207136
449.350248,2.366421
450.550248,2.679958
453.350248,2.531939
453.950248,2.685746
454.550248,2.837028
455.150248,2.539739
